Code,Parent,Name_fr
"23510","2351","Spécialistes des méthodes d’enseignement"
"23520","2352","Enseignants, éducation spécialisée"
"23530","2353","Professeurs de langues"
"23540","2354","Professeurs de musique"
"23550","2355","Professeurs de disciplines artistiques"
"23560","2356","Formateurs en technologies de l’information"
"23590","2359","Spécialistes de l’enseignement, non classés ailleurs"
"24000","2400","Spécialistes en administration d’entreprises, sip"
"24100","2410","Spécialistes en finances, sip"
"24110","2411","Experts comptables"
"24120","2412","Conseillers en finances et investissements"
"24130","2413","Analystes financiers"
"24200","2420","Spécialistes des fonctions administratives, sip"
"24210","2421","Analystes, gestion et organisation"
"24220","2422","Spécialistes, administration et politiques"
"24230","2423","Spécialistes, ressources humaines et évolution de carrière"
"24240","2424","Spécialistes de la formation du personnel"
"24300","2430","Spécialistes des ventes, du marketing et des relations publiques, sip"
"24310","2431","Spécialistes du marketing et de la publicité"
"24320","2432","Spécialistes des relations publiques"
"24330","2433","Spécialistes techniques des ventes (à l’exception des TIC), sip"
"24331","2433","Spécialistes techniques des ventes (à l’exception des TIC), secteur technique"
"24332","2433","Spécialistes techniques des ventes (à l’exception des TIC), secteur médical"
"24340","2434","Spécialistes techniques des ventes, technologies de l’information et de la communication"
"25000","2500","Spécialistes des technologies de l’information et de la communication, sip"
"25100","2510","Concepteurs et analystes de logiciels et de multimédia (sans ingénieurs en informatique), sip"
"25101","2510","Ingénieurs en informatique"
"25110","2511","Analystes de systèmes, sip"
"25111","2511","Analystes de systèmes, architecture et controlling"
"25112","2511","Analystes de systèmes, conseil ICT"
"25120","2512","Concepteurs de logiciels, sip"
"25121","2512","Concepteurs de logiciels, développement de logiciels"
"25122","2512","Concepteurs de logiciels, informatique de gestion"
"25123","2512","Concepteurs de logiciels, architecture et ingénierie système"
"25124","2512","Concepteurs de logiciels, management de projet"
"25130","2513","Médiamaticiens"
"25140","2514","Programmeurs d’applications"
"25190","2519","Concepteurs et analystes de logiciels, et concepteurs de multimédia non classés ailleurs (à l'exception de la qualité et du testing)"
