Code,Parent,Name_fr
"11101001","61300","Paysan de montagne | Paysanne de montagne"
"11101002","61300","Petit agriculteur | Petite agricultrice"
"11101003","61300","Paysan | Paysanne"
"11101004","61300","Agriculteur | Agricultrice"
"11101005","61300","Fermier | Fermière"
"11101007","61300","Producteur agricole | Productrice agricole"
"11101008","61300","Agriculteur-éleveur de bétail | Agricultrice-éleveuse de bétail"
"11101009","92130","Aide d'exploitation agricole"
"11101010","61300","Agriculteur, maître EPS | Agricultrice, maître EPS"
"11101012","61300","Paysan diplômé EP | Paysanne diplômée EP"
"11101013","61300","Paysan/Restaurateur | Paysanne/Restauratrice"
"11101014","61300","Vulgarisateur agricole | Vulgarisatrice agricole"
"11101016","61300","Chef d'exploitation agricole | Cheffe d'exploitation agricole"
"11101017","61300","Agriculteur-arboriculteur | Agricultrice-arboricultrice"
"11101018","61300","Paysan-vigneron | Paysanne-vigneronne"
"11101019","61300","Paysan-jardinier | Paysanne-jardinière"
"11101021","61300","Agriculteur (examen de capacité) | Agricultrice (examen de capacité)"
"11101022","61300","Paysan, brev. féd. EP | Paysanne, brev. féd. EP"
"11101023","61300","Agriculteur, maître | Agricultrice, maître"
"11101024","61300","Paysan diplômé | Paysanne diplômée"
"11101025","61300","Paysan, dipl. EPS | Paysanne, dipl. EPS"
"11101026","61300","Agriculteur, agriculture biologique | Agricultrice, agriculture biologique"
"11101027","61300","Agriculteur, brev. féd. EP | Agricultrice, brev. féd. EP"
"11101028","61211","Paysan de montagne/fromager d'alpage | Paysanne de montagne/fromagère d'alpage"
"11101029","61300","Spécialiste en agriculture biodynamique, brev. féd. EP"
"11101030","61300","Agropraticien AFP | Agropraticienne AFP"
"11101031","61300","Agropraticien AFP, agriculture | Agropraticienne AFP, agriculture"
"11101032","61300","Responsable de ménage agricole, brev. féd. EP | Paysanne, brev. féd. EP"
"11101033","61300","Agriculteur CFC | Agricultrice CFC"
"11101034","61300","Maître agriculteur, dipl. EPS | Maître agricultrice, dipl. EPS"
"11101035","61300","Agriculteur Demeter | Agricultrice Demeter"
"11101036","61300","Responsable de ménage agricole, dipl. EPS | Paysanne, dipl. EPS"
"11101037","61300","Chef d'exploitation agricole, brev. féd. EP | Cheffe d'exploitation agricole, brev. féd. EP"
"11101038","61211","Maître d'alpage"
"11102001","92130","Garçon de ferme | Fille de ferme"
"11102002","92130","Domestique agricole"
"11102003","92130","Servant de ferme | Servante de ferme"
"11102004","92130","Aide charretier | Aide charretière"
"11102005","92120","Domestique d'écurie"
